group_x,n_x,region,mean_x,se_x,std_x,sample_size_x,group_y,n_y,mean_y,se_y,std_y,sample_size_y,comparison,p_value,group1,group2,t,significant,NPVR,num,anat,n,timepoint,NPVR_CI_low,NPVR_CI_high,test,sample_size,alpha,std_t,std_p,std_p_low,std_p_high,proba_significant,metric,study,clinical_measure,r,std_r
,,TotalGrayVol,,,,,,,,,,,,0.066,,,,False,0.023753862810053,1360.445466760949,57272.59930899257,198,hc & pd,0.0231067731340153,0.0244193964250514,R,76,0.05,,0.0001431181260386202,0.0001392193807038505,0.00014712799696175983,0.0,volume,cross-sectional,UPSIT,0.221,0.0016505462249096707
,,CortexVol,,,,,,,,,,,,0.044,,,,True,0.0274752674431256,2460.196809333233,89542.23337137268,198,hc & pd,0.026726801307281,0.0282450670420662,R,76,0.05,,6.0789155704004516e-05,5.913317093278382e-05,6.249234086053658e-05,1.0,cortical volume,cross-sectional,UPSIT,0.242,0.001899346567184202
,,Putamen,,,,,,,,,,,,0.267,,,,False,0.1261276039195501,136.13779021331558,1079.3655471339202,198,hc & pd,0.1226917050507068,0.1296614359054843,R,76,0.05,,0.01713398868758057,0.016667233984240748,0.017614047258339018,1.3879434744868147e-76,subcortical volume,cross-sectional,UPSIT,-0.134,0.00890517596756138
,,Caudate,,,,,,,,,,,,0.895,,,,False,0.094429123790175,80.2582783197474,849.931409912097,198,hc & pd,0.0918567374961844,0.0970748305798347,R,76,0.05,,0.07320582196186515,0.07121158919239186,0.0752568961689868,4.44795370957127e-19,subcortical volume,cross-sectional,UPSIT,0.016,0.006726935289919558
,,Pallidum,,,,,,,,,,,,0.503,,,,False,0.1598145928494424,75.83969666992868,474.5480078992254,198,hc & pd,0.1554610115418462,0.1642922638943204,R,76,0.05,,0.06685978762260987,0.06503843003295678,0.06873305920417619,5.653898936062596e-22,subcortical volume,cross-sectional,UPSIT,-0.081,0.0113489039986301
PD,76.0,Caudate,-0.037,0.005,0.04358898943540674,76.0,Control,70.0,-0.021,0.005,0.04183300132670378,70.0,Control vs. PD,0.008,Control,PD,-2.2627416997969516,True,0.455654565616698,0.0156990279457985,0.034453792698315,390,hc & pd,0.4467805488914238,0.4647081796605899,T,146,0.05,0.455654565616698,0.028823724557986985,0.02826237340930248,0.029396436645491852,0.9521340107425045,subcortical volume,longitudinal,,,
PDE,22.0,Caudate,-0.044,0.008,0.03752332607858744,22.0,Control,70.0,-0.021,0.005,0.04183300132670378,70.0,Control vs. PDE,0.005,Control,PDE,-2.437995124014628,True,0.455654565616698,0.0156990279457985,0.034453792698315,390,hc & pd,0.4467805488914238,0.4647081796605899,T,92,0.05,0.455654565616698,0.019752851736958264,0.01936815870431326,0.020145330402568908,0.9709886960475644,subcortical volume,longitudinal,,,
PDL,27.0,Caudate,-0.019,0.007,0.036373066958946425,27.0,Control,70.0,-0.021,0.005,0.04183300132670378,70.0,Control vs. PDL,0.852,Control,PDL,0.23249527748763876,False,0.455654565616698,0.0156990279457985,0.034453792698315,390,hc & pd,0.4467805488914238,0.4647081796605899,T,97,0.05,0.455654565616698,0.3528377617688438,0.34596613480509925,0.35984846056617137,0.14330385967982961,subcortical volume,longitudinal,,,
PDL,27.0,Caudate,-0.019,0.007,0.036373066958946425,27.0,PDE,22.0,-0.044,0.008,0.03752332607858744,22.0,PDE vs. PDL,0.011,PDE,PDL,2.351802170958993,True,0.455654565616698,0.0156990279457985,0.034453792698315,390,hc & pd,0.4467805488914238,0.4647081796605899,T,49,0.05,0.455654565616698,0.02504054081970978,0.02455286837042077,0.025538083057051658,0.9371259061656837,subcortical volume,longitudinal,,,
PDL,27.0,Caudate,-0.019,0.007,0.036373066958946425,27.0,PDM,27.0,-0.045,0.007,0.036373066958946425,27.0,PDM vs. PDL,0.006,PDM,PDL,2.6263966158357475,True,0.455654565616698,0.0156990279457985,0.034453792698315,390,hc & pd,0.4467805488914238,0.4647081796605899,T,54,0.05,0.455654565616698,0.013332759034980168,0.01307309933748469,0.01359767387080443,0.9796214606086711,subcortical volume,longitudinal,,,
