Paper,Region,Method,Mean_pval,Std_pval,P_cross
Liu_2012,CC_Central,AD,0.665,0.1790482879380679,3.3621932017411547e-05
Liu_2012,CC_Mid_Anterior,AD,0.618,0.15860547118859092,4.570618167919197e-06
Liu_2012,CC_Mid_Posterior,AD,0.581,0.19574229246694386,0.0004550690511640014
Liu_2012,CC_Posterior,AD,0.506,0.20185114472484536,0.0022910517307601895
Liu_2012,entoinalthickness,exact,0.054,0.035881900200584606,0.5409740991441034
Liu_2012,parahippocampal,exact,0.307,0.05491038736467157,5.0105887130182464e-12
Liu_2012,middletemporal*,exact,0.002,0.000744475414092536,0.0
Liu_2012,superiortemporal*,exact,0.005,0.001126043722824997,0.0
Liu_2012,inferiortemporal*,exact,0.01,0.0040994841815272754,1.8530436740604728e-08
Liu_2012,temporalpole,exact,0.041,0.02883502434758639,0.303679338087532
Liu_2012,transversetemporal,exact,0.094,0.03026662111320354,0.05154464613283326
Liu_2012,insula,exact,0.11,0.05593528558975087,0.1253533244213391
Liu_2012,fusiform*,exact,0.014,0.006419829662636985,0.00011758966690345041
Liu_2012,medialorbitofrontal,exact,0.077,0.034646428448103714,0.23216789740835606
Liu_2012,lateralorbitofrontal,exact,0.122,0.05116283898084959,0.05053793038122981
Liu_2012,parsorbitalis,exact,0.076,0.03224916211355009,0.2211332159352879
Liu_2012,parsopercularis,exact,0.05,0.014865442721402795,0.5375813283301409
Liu_2012,superiorfrontal,exact,0.025,0.0058579131211050515,0.0002924655485223582
Liu_2012,parstriangularis,exact,0.243,0.06333801415441018,9.386463188282762e-06
Liu_2012,frontalpole,exact,0.644,0.1704853628688504,1.5339858633642495e-05
Liu_2012,rostralmiddlefrontal,exact,0.034,0.01151990337073219,0.09256727695129419
Liu_2012,caudalmiddlefrontal*,exact,0.012,0.004027196398271386,5.598542407447837e-09
Liu_2012,precentral,exact,0.05,0.017138108404141504,0.5433725466824207
Liu_2012,superiorparietal*,exact,0.013,0.0028711157669866452,6.661338147750939e-16
Liu_2012,postcentral,exact,0.124,0.03561322526140981,0.005251914971609996
Liu_2012,paracentral,exact,0.044,0.015022114409652126,0.3120986544300113
Liu_2012,inferiorparietal*,exact,0.001,0.0004775651208958652,0.0
Liu_2012,supramarginal,exact,0.047,0.0118103165405402,0.3714613149292951
Liu_2012,pericalcarine*,exact,0.013,0.007547147581810748,0.0007536499050827539
Liu_2012,precuneus*,exact,0.013,0.0034504703438186677,1.286681872159079e-11
Liu_2012,lingual,exact,0.087,0.03605834075393388,0.14437730689620137
Liu_2012,cuneus,exact,0.021,0.008551793684903587,0.0042988252428602935
