region,hemisphere,n_correlations,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
parstriangularis,lh,26,0,0.0,0.011614110012439489,0.011956499282410696,-0.006905743668558416,0.03296595506458503,0.894546019340342,0.08590088453204851,0.7324313159070989,0.9989557266707766,112.0,112.0,112.0
parsorbitalis,rh,26,0,0.0,-0.14574073814662353,0.01570175204602399,-0.1736229267378604,-0.11328801613342471,0.1337110998208975,0.04373558344277211,0.06968173914890159,0.23863732043253943,112.0,112.0,112.0
parsorbitalis,lh,26,0,0.0,0.03154302520460472,0.01619926348054778,-0.011925649956272188,0.056899339385689154,0.7389836553475225,0.11016570241679438,0.5549045461017147,0.9316509504920287,112.0,112.0,112.0
parsopercularis,rh,26,0,0.0,-0.032486095931080955,0.01556958443631738,-0.058588937596051785,-0.004581632965940322,0.7391497870849038,0.1218989949092149,0.5431947675608854,0.9621116316292073,112.0,112.0,112.0
parsopercularis,lh,26,0,0.0,0.030824066233006046,0.011783031746182525,0.008430848521308957,0.06051299224374122,0.7510353357051188,0.09097918980552193,0.5300095672540249,0.9303417061372617,112.0,112.0,112.0
postcentral,rh,26,0,0.0,-0.07856203418958786,0.010917568854116813,-0.09306443332097955,-0.05413917771250795,0.41740738674137123,0.06759151165761405,0.33353474805166106,0.574291628135354,112.0,112.0,112.0
pericalcarine,rh,26,0,0.0,-0.05380823963647599,0.013367984841034325,-0.07845957646826497,-0.03219978338604148,0.5801406834226082,0.09361213350197795,0.415216736509064,0.7384226324151446,112.0,112.0,112.0
precentral,rh,26,0,0.0,-0.08806383758114575,0.01616261498285146,-0.11052164537203073,-0.05033793568571758,0.3666309071778313,0.09159621200550934,0.25037276056466967,0.6014969856666903,112.0,112.0,112.0
precuneus,lh,26,0,0.0,-0.010223700812733015,0.01930180016108291,-0.04589251564558952,0.01247635080785234,0.8702843155937352,0.11823547831113837,0.6340192935651153,0.9882815188765413,112.0,112.0,112.0
rejected_images,lh,0,0,0.0,,,,,,,,,112.0,112.0,112.0
precuneus,rh,26,0,0.0,-0.062360888075339335,0.013106892957190228,-0.1029609804246625,-0.04577343751124401,0.52130088035919,0.08338673675744475,0.28445022418899807,0.6349004957760502,112.0,112.0,112.0
rejected_images,rh,0,0,0.0,,,,,,,,,112.0,112.0,112.0
rostralanteriorcingulate,lh,26,0,0.0,-0.08314639695853279,0.016865514958402248,-0.11313528360604434,-0.050606222520987974,0.3946623252850874,0.09803964736291318,0.23927508068242295,0.599558175318107,112.0,112.0,112.0
posteriorcingulate,rh,26,0,0.0,-0.05519048956178956,0.013747297086818573,-0.08972083477550953,-0.027926852322767797,0.5706321539383903,0.09522058338761129,0.3512682081774956,0.7721147248105379,112.0,112.0,112.0
pericalcarine,lh,26,0,0.0,-0.13877241854660857,0.013950643255804463,-0.16730620250256453,-0.10500610790019592,0.1523878227783183,0.04330334876513188,0.08063504701349956,0.27494126076356573,112.0,112.0,112.0
rostralmiddlefrontal,lh,26,0,0.0,-0.07589902511500903,0.018738976183165227,-0.1024083334077555,-0.040162228132571955,0.4387115359843975,0.11785826161101406,0.28705700842905446,0.6769846952522125,112.0,112.0,112.0
rostralanteriorcingulate,rh,26,0,0.0,-0.0025873055309340543,0.01323231666923131,-0.023100971857147688,0.028846777453876853,0.9118597932852844,0.06458407221937745,0.7648227977983292,0.992196347789376,112.0,112.0,112.0
superiorfrontal,lh,26,0,0.0,-0.0491725692048551,0.017703272628233065,-0.0777738988335044,-0.0139707523524808,0.6153319696424867,0.1308013110962313,0.4193176195062768,0.8848216445684932,112.0,112.0,112.0
subject,lh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
superiorfrontal,rh,26,0,0.0,-0.1554437113341826,0.012070705361660845,-0.1737271387219761,-0.12228527127752566,0.10765104365889713,0.030120265388894726,0.06951168092638983,0.2031351913208375,112.0,112.0,112.0
superiorparietal,lh,26,0,0.0,0.0077745366571767005,0.025647593068125533,-0.031083178921391605,0.03886038205105196,0.7929818603720796,0.057037322797236056,0.6868985304632889,0.9244884062648048,112.0,112.0,112.0
superiorparietal,rh,26,0,0.0,0.01539920281115753,0.019850008614538533,-0.04857087486351528,0.0384355730145203,0.8219583709143362,0.09611054949490477,0.6143359405093171,0.9989700069465028,112.0,112.0,112.0
subject,rh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
superiortemporal,rh,26,0,0.0,-0.11614446541088534,0.011357347663642678,-0.13362318364790463,-0.09381223744235412,0.23004395579282508,0.046742295751371794,0.164015725714246,0.3296479528583707,112.0,112.0,112.0
supramarginal,lh,26,0,0.0,-0.12122618411056411,0.012143125001446256,-0.14476479476866394,-0.09880530150273002,0.21054590865297643,0.04429419033511477,0.1313187042314912,0.304441068283395,112.0,112.0,112.0
supramarginal,rh,26,0,0.0,-0.008124729427912276,0.016881861479146495,-0.07084113025186146,0.013931959780964601,0.9090672966508204,0.11511777310053828,0.46208058501320215,0.9971453730319154,112.0,112.0,112.0
temporalpole,lh,26,0,0.0,-0.10504641768371624,0.04166612361149089,-0.16414238711880708,-0.008374903797418507,0.3153216821935016,0.21066991297538046,0.0866175726331162,0.9308027905904395,112.0,112.0,112.0
transversetemporal,lh,26,0,0.0,-0.1609551948294177,0.013038227781339475,-0.1867291553139297,-0.13822560745828466,0.09590684194231992,0.02672895624620489,0.05078690699479114,0.1498436024207157,112.0,112.0,112.0
transversetemporal,rh,26,0,0.0,-0.03032529531965361,0.01941104794836769,-0.07639213710216126,-0.0029139669169143973,0.7584396370049394,0.14561823240699703,0.42765260112901804,0.9758972767727452,112.0,112.0,112.0
visit,lh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
visit,rh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
