region,hemisphere,n_tests,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
parsopercularis,rh,26,0,0.0,-0.019125622822808223,0.07849013156229756,-0.11827883516977193,0.16083389200564016,0.5385473590553619,0.25630101732880484,0.10992208127847658,0.9182830441126479,103.0,103,103
rostralanteriorcingulate,rh,26,0,0.0,0.0030103500973135636,0.07221837844546457,-0.15025757978779722,0.12888313403423665,0.5596439693008052,0.20260666494397003,0.1356545416451833,0.9777064133706703,103.0,103,103
rostralmiddlefrontal,rh,26,0,0.0,0.05593212542590473,0.040521751214855024,-0.07755106391169428,0.13374383171074863,0.5555228199470735,0.18872372329245232,0.18464372574630508,0.9801389242571327,103.0,103,103
superiorparietal,rh,26,0,0.0,-0.09609408965437492,0.04214953553371033,-0.1807950049746996,0.001211714562219779,0.3777442861639343,0.21978831875587246,0.07184728715421355,0.9904536940426518,103.0,103,103
superiorparietal,lh,26,0,0.0,-0.006594951002201208,0.03975985393779522,-0.0709203012117539,0.10812910570558462,0.7817202607060061,0.19083237364340616,0.28424144418741426,0.9856196482191316,103.0,103,103
superiorfrontal,rh,26,0,0.0,-0.08091692388232286,0.04485854875147554,-0.16682629598021423,0.021719255569685982,0.4429842874357078,0.21879304145364842,0.09712868267190841,0.924946792457051,103.0,103,103
superiorfrontal,lh,26,0,0.0,-0.07695385034813346,0.05075041879680514,-0.1890742453522597,0.01417813280347647,0.4845805278258343,0.26000533988428465,0.059564675504184296,0.9611571397826055,103.0,103,103
supramarginal,rh,26,0,0.0,-0.0810559965385166,0.03715201734937221,-0.16601407347328345,0.008771016438246258,0.4439975059455517,0.20767460494575501,0.098790673426854,0.9503057194667458,103.0,103,103
temporalpole,rh,26,0,0.0,0.04796039793818347,0.03578606247762032,-0.02336988321949572,0.13216425417673497,0.641787099843801,0.2117503411495387,0.18993062401675723,0.9749714605032097,103.0,103,103
transversetemporal,lh,26,0,0.0,-0.004632786452124196,0.04495415488899237,-0.09599917766807659,0.07542949022976488,0.730744058627616,0.1855625685657712,0.34205179781252215,0.9643621681226826,103.0,103,103
transversetemporal,rh,26,0,0.0,-0.022564559530072102,0.0514596930382498,-0.15951106570468868,0.08660418626948906,0.7286875982956624,0.24006585846524367,0.11291545125001726,0.9770836583271428,103.0,103,103
