region,n_correlations,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
Right-Lateral-Ventricle,26,0,0.0,-0.08263244817885548,0.0013916439294273002,-0.08623479244120988,-0.07956558464209514,0.3908153883105023,0.008000337724650948,0.3703721646220546,0.4086514288089077,112.0,112.0,112.0
Right-Pallidum,26,0,0.0,0.05368171583636815,0.026003304416386288,-0.005236570657474298,0.11592710271001938,0.5865850175163957,0.1745398653134805,0.22780382623464998,0.9567004627051293,112.0,112.0,112.0
Right-Thalamus,26,0,0.0,-0.023590254941174733,0.017244739161529868,-0.057640077242625584,0.0161958875790862,0.7953176431857314,0.11372170468191684,0.5497559026619256,0.9845152725511708,112.0,112.0,112.0
Right-Caudate,26,0,0.0,-0.1377165042581416,0.009047618236355626,-0.15330360980261395,-0.11961295637070013,0.15313494093839686,0.02808410252824078,0.10982915804096575,0.2132588450706388,112.0,112.0,112.0
Right-Cerebellum-Cortex,26,0,0.0,0.03289214214208834,0.007293455787901229,0.019089426909622124,0.0470026124855959,0.7337014661266742,0.056882169844884985,0.6258290957484001,0.8430900440233272,112.0,112.0,112.0
Right-Cerebellum-White-Matter,26,0,0.0,0.05262626846691691,0.023599899677522983,0.003509105452712813,0.09691890326135283,0.5950980105271476,0.16862274520132167,0.3138119030542435,0.9709765796784994,112.0,112.0,112.0
Right-Inf-Lat-Vent,26,0,0.0,0.0052486957048523694,0.012017207641710126,-0.019794948032219113,0.030422653956049803,0.9127039757612543,0.06097481807898017,0.7523793374300205,0.9885222070373678,112.0,112.0,112.0
Right-Accumbens-area,26,0,0.0,0.021832515479161388,0.025246658669901806,-0.024012964048670992,0.06513676060116035,0.7712017524088529,0.13123103608099684,0.4989933342789543,0.9530464044362091,112.0,112.0,112.0
Right-vessel,26,0,0.0,0.0428741573829322,0.025752328267503937,-0.006155950287904103,0.09883912731037665,0.6615296929870689,0.17759163050992452,0.3042747255002187,0.9783417321225861,112.0,112.0,112.0
Right-non-WM-hypointensities,0,0,0.0,,,,,,,,,112.0,112.0,112.0
Right-choroid-plexus,26,0,0.0,0.01570589249461999,0.021071503909062757,-0.038051242721186304,0.05475287014204838,0.8312727261316415,0.1259529964618206,0.5699538945037901,0.9864415243508253,112.0,112.0,112.0
Right-WM-hypointensities,0,0,0.0,,,,,,,,,112.0,112.0,112.0
Right-VentralDC,26,0,0.0,-0.09649223664404129,0.016771573153563677,-0.13095948839681684,-0.07075258754751593,0.3229246452326906,0.08322647783118085,0.1726603325442659,0.46264181462805287,112.0,112.0,112.0
SupraTentorialVolNotVent,26,0,0.0,-0.06993670354685197,0.003859841697966764,-0.07762913151145716,-0.06254354078743433,0.468171745186071,0.024542457229621867,0.42018643301463776,0.5162706829209431,112.0,112.0,112.0
SupraTentorialVol,26,0,0.0,-0.08465611282841223,0.0037572890538005287,-0.09203907311363266,-0.07755417224412187,0.3795755536922523,0.021161936183584144,0.33891136079395445,0.42063670658262065,112.0,112.0,112.0
SubCortGrayVol,26,0,0.0,-0.14062623297172847,0.007357340062599555,-0.15751515501854613,-0.12934555344165066,0.1439518632648908,0.020687931505810647,0.10029249299727888,0.1780589873760259,112.0,112.0,112.0
lhCortexVol,26,0,0.0,-0.14672925888019825,0.005444872990323673,-0.15868435281591248,-0.13471016436590938,0.12669921313230625,0.014122235818601794,0.09776384010042015,0.16058201974569167,112.0,112.0,112.0
lhCerebralWhiteMatterVol,26,0,0.0,0.03288218530254923,0.005237950859149061,0.023536543452839134,0.04143723508419467,0.7334424819995109,0.04093534796515625,0.6673284305740846,0.8071787523816347,112.0,112.0,112.0
TotalGrayVol,26,0,0.0,-0.13806225427292504,0.002841088990358655,-0.14444127094984086,-0.13147464823905622,0.15050269511514222,0.008442500404705343,0.13219197891480636,0.1709627838990409,112.0,112.0,112.0
rejected_images,0,0,0.0,,,,,,,,,112.0,112.0,112.0
rhCerebralWhiteMatterVol,26,0,0.0,0.022495951770396858,0.006259461656750842,0.00980661132011587,0.03392564385319165,0.8159030250704616,0.05042098387890416,0.7249493952497956,0.9190105928240029,112.0,112.0,112.0
rhCortexVol,26,0,0.0,-0.16697709826058485,0.004282204879835523,-0.17516987503597686,-0.15685045910799572,0.08154072006785676,0.00809794098210798,0.06719169827428283,0.10175280309000277,112.0,112.0,112.0
subject,0,0,0.0,,,,,,,,,0.0,0.0,0.0
visit,0,0,0.0,,,,,,,,,0.0,0.0,0.0
