region,hemisphere,n_tests,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
cuneus,lh,26,0,0.0,-0.029577315466744532,0.07527620088490969,-0.15711515646349314,0.11788030094670354,0.5719943600391447,0.2935022155120219,0.11849762980782616,0.996299228926782,103.0,103,103
parahippocampal,lh,26,0,0.0,-0.0024786960527213723,0.07615302649124141,-0.1320104001813899,0.12265731595209946,0.5522795122819262,0.23889047481824477,0.19045138692536548,0.9822066285359344,103.0,103,103
paracentral,rh,26,0,0.0,0.011954756495727647,0.04463941364737926,-0.07507476913456414,0.09610760178513987,0.7179661762753189,0.1811357378471563,0.34150434506572735,0.9907629995485783,103.0,103,103
paracentral,lh,26,0,0.0,-0.03720695377403578,0.043015516011886086,-0.11562894634596897,0.0710960480718379,0.6555377942387535,0.20239622044601174,0.25196095646445754,0.9564791051493843,103.0,103,103
middletemporal,rh,26,0,0.0,0.02002250657474007,0.06675110891778238,-0.10678938570010114,0.15748842286101472,0.6117106932754882,0.24274308977709555,0.11761422067085409,0.9467624865360347,103.0,103,103
medialorbitofrontal,rh,26,0,0.0,0.03862465513730095,0.08582815124160285,-0.14027333758136012,0.18492396628125535,0.49680576412817723,0.2849850162774796,0.06548826622724649,0.9819161657654142,103.0,103,103
middletemporal,lh,26,0,0.0,-0.050367890054683534,0.04800441558629399,-0.15131377831672777,0.03460539770154434,0.626329636941015,0.27553722310408457,0.13289550465041533,0.9876714279956413,103.0,103,103
medialorbitofrontal,lh,26,0,0.0,-0.02301688824892608,0.07321412375846965,-0.14635736346357361,0.10588811594776291,0.5510108923023529,0.24813903977730575,0.14622109523658655,0.9506567543926724,103.0,103,103
lingual,rh,26,0,0.0,-0.10137729101610472,0.03806844341214929,-0.18158483718111565,-0.03196679590970934,0.34681349709922316,0.17469420567036756,0.07059379300079885,0.7522077228301112,103.0,103,103
isthmuscingulate,rh,26,0,0.0,0.06830845748723605,0.06437175791471465,-0.06298579910222904,0.16316264234134042,0.4710845043364454,0.2633823959262111,0.104802881842724,0.9871498853263012,103.0,103,103
lingual,lh,26,0,0.0,0.00779385018315663,0.05666002122248642,-0.0759661843172828,0.10944556785747053,0.6455676541934761,0.19636789805971763,0.2783844461759511,0.9585542456245564,103.0,103,103
lateralorbitofrontal,lh,26,0,0.0,-0.008823352124917277,0.057532713852032305,-0.11872858396863097,0.1116933792155913,0.6748886665193351,0.2308497291574107,0.23938495324940579,0.9621968571127189,103.0,103,103
lateraloccipital,rh,26,0,0.0,-0.08477437319018567,0.03840955781394528,-0.17008741559595048,-0.006297056428422223,0.43222779605463735,0.2090137065728494,0.09067624792749371,0.9504199067251062,103.0,103,103
lateraloccipital,lh,26,0,0.0,-0.06342641996243494,0.035344195856834695,-0.12372834646462885,-0.011425100111858781,0.5543231473295824,0.21899206571731075,0.22003067828865674,0.9101746485409897,103.0,103,103
inferiortemporal,lh,26,0,0.0,-0.06957552630156183,0.04872370165959061,-0.16585029204194854,0.035091509892256983,0.51418977055068,0.24791246087086002,0.09912849965994858,0.9372114017431682,103.0,103,103
parsorbitalis,rh,26,0,0.0,0.028528161534828393,0.0840240638131484,-0.11750793903810657,0.1795213165736057,0.5299186295286679,0.27746505436461166,0.0739064405538592,0.9683718790568079,103.0,103,103
