region,hemisphere,n_correlations,n_significant,proportion_significant,mean_r,std_r,min_r,max_r,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
parstriangularis,lh,26,0,0.0,0.020604831344379623,0.010575859405759376,0.0014393210585795474,0.04680073399058935,0.8318717294824478,0.08432600792028322,0.6273151939045223,0.9880933818101547,112.0,112.0,112.0
postcentral,lh,26,0,0.0,-0.08825064936162366,0.015108072807523324,-0.11521036308676509,-0.05189424970468467,0.3647811197655137,0.08608746761255077,0.23071126636601644,0.5902891925557593,112.0,112.0,112.0
pericalcarine,lh,26,0,0.0,0.0034507501327980554,0.010167181573557053,-0.01288683746230809,0.027168556301592144,0.9306160191016843,0.053152105668759726,0.7781404630452997,0.9983055943512407,112.0,112.0,112.0
postcentral,rh,26,0,0.0,0.06779213344332118,0.015870213747272502,0.03063986369734098,0.09261729492859046,0.4871281792043364,0.10433422172813087,0.3358726700318183,0.7506690865963788,112.0,112.0,112.0
posteriorcingulate,rh,26,0,0.0,-0.06026309789720287,0.014910600294287054,-0.09358556123481683,-0.03798004399659648,0.536402450515572,0.09997257109938858,0.330823060211493,0.6936328415159769,112.0,112.0,112.0
precentral,lh,26,0,0.0,0.01916401358856747,0.021557981629529425,-0.012069142991297443,0.0749480162937128,0.829792277853527,0.14995946956539016,0.43646454782255684,0.9999201344061274,112.0,112.0,112.0
pericalcarine,rh,26,0,0.0,0.10900695213208111,0.0125192728669253,0.08064341607812116,0.12836613908316907,0.26082885703761627,0.05802365096818083,0.18139498480943814,0.40231239524647755,112.0,112.0,112.0
precentral,rh,26,0,0.0,0.034963709694341864,0.012237921768067546,0.014150582680444584,0.05330842172503677,0.7189221385817824,0.09474142628547412,0.5801880512975908,0.8833494729787875,112.0,112.0,112.0
precuneus,lh,26,0,0.0,0.06852379500551908,0.018300899504590334,0.03629875794062382,0.09242542961897302,0.4842475131247254,0.12061477095475792,0.33687904433175986,0.7065602863548897,112.0,112.0,112.0
rejected_images,lh,0,0,0.0,,,,,,,,,112.0,112.0,112.0
precuneus,rh,26,0,0.0,0.04155749439540708,0.011527127299687863,0.01037792653083663,0.05796840639676984,0.668394123084986,0.08828292229410797,0.5474812360815443,0.9143097334730572,112.0,112.0,112.0
rejected_images,rh,0,0,0.0,,,,,,,,,112.0,112.0,112.0
rostralanteriorcingulate,lh,26,0,0.0,-0.027583333051212435,0.021762375390778015,-0.06983004010017013,0.0074334456011197845,0.7717208136992897,0.15636294887382376,0.4685116469799342,0.9730146482988891,112.0,112.0,112.0
rostralanteriorcingulate,rh,26,0,0.0,-0.032545606364118004,0.021659272831564495,-0.06414281708644665,0.021046321219325533,0.7220119764741415,0.13517259609186522,0.5055794789623169,0.9282516353182231,112.0,112.0,112.0
rostralmiddlefrontal,lh,26,0,0.0,-0.0738917425913043,0.01706115883664144,-0.09331997081704445,-0.0339364203183764,0.44945451967189537,0.11164242883364074,0.3322032971938388,0.7248655251441751,112.0,112.0,112.0
subject,lh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
subject,rh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
superiorfrontal,lh,26,0,0.0,0.05293013310040019,0.018241882011612733,0.023871403417371317,0.08552223936109915,0.5892972814684432,0.12782433437403226,0.3743539417597278,0.8044898629989415,112.0,112.0,112.0
superiorfrontal,rh,26,0,0.0,-0.08687636532656343,0.015082105950333075,-0.10660692379778514,-0.043617367992273885,0.3721983218407514,0.09183066848816744,0.26764915217373,0.6509430880539764,112.0,112.0,112.0
superiorparietal,lh,26,0,0.0,0.12099153659094629,0.025331404036262842,0.08212165824544175,0.15142810386801867,0.22327374738522238,0.10401975017041903,0.11429715566736064,0.3937136409915817,112.0,112.0,112.0
superiorparietal,rh,26,0,0.0,0.09568978298907418,0.021344017539656705,0.031085876577265054,0.1264497799139337,0.3309045031663254,0.12389992935338344,0.18805419770251702,0.7471610946034581,112.0,112.0,112.0
superiortemporal,lh,26,0,0.0,-0.07132521752145361,0.008929116624238845,-0.08959243116693268,-0.05391783168587116,0.46086208772655574,0.055698919957854455,0.35196076197479687,0.5758599306070264,112.0,112.0,112.0
superiortemporal,rh,26,0,0.0,-0.025783900644428835,0.011728003114320056,-0.04507645733204343,-1.0599042975608645e-05,0.7905476237884066,0.09364038293181802,0.6400684914554664,0.9999123174251765,112.0,112.0,112.0
supramarginal,lh,26,0,0.0,-0.04818882961323294,0.014408732205302243,-0.08177856871610326,-0.02412516850522603,0.6210077866434732,0.10213140824410702,0.3956995095316801,0.8024536728489965,112.0,112.0,112.0
supramarginal,rh,26,0,0.0,0.06860062990161199,0.01617874845701562,0.01287179821749646,0.0906573730565262,0.48174405206400894,0.11210693310970181,0.34624270699603055,0.8938265133065987,112.0,112.0,112.0
temporalpole,lh,26,0,0.0,0.02046443763218269,0.036522493708714576,-0.03809590087235183,0.08518258484933958,0.7405459804855901,0.1837266425791763,0.37626109742895286,0.9771060828715734,112.0,112.0,112.0
temporalpole,rh,26,0,0.0,-0.050409834591926335,0.033388631723369463,-0.10493327106552798,0.014883314225870737,0.5975871378311768,0.2040880188363614,0.27527620108913775,0.9408801685101544,112.0,112.0,112.0
transversetemporal,lh,26,0,0.0,-0.05254037250331414,0.015282663302615114,-0.08789996330550078,-0.01908426778460384,0.5901602100070692,0.10702220701790764,0.36116874185631875,0.8431319075367348,112.0,112.0,112.0
transversetemporal,rh,26,0,0.0,0.07720227244845662,0.02495268881065602,0.018463384738722916,0.11511638738983596,0.43698326244098495,0.15456121224855818,0.2310943965558809,0.8481731965283477,112.0,112.0,112.0
visit,lh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
visit,rh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
