repetition,region,hemisphere,F,p_value,np2,sample_size,metric,test,analysis,study,timepoint_x,NPVR,num,anat,n,timepoint_y,NPVR_CI_low,NPVR_CI_high,significant,std_F,std_p,std_p_low,std_p_high,proba_significant,r,std_r
9,CortexVol,,,0.11441296894297967,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.006999221509416245,0.006716293351570739,0.007294244037414085,2.674975054689898e-31,-0.15351226868780948,0.00297290454571837
10,CortexVol,,,0.11931207999628701,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.007236934579621662,0.006944397392977946,0.007541976894936674,2.2509957161784804e-34,-0.1514942488723724,0.002973841404656857
11,CortexVol,,,0.11549561823288318,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.007052018551476855,0.006766956189158778,0.007349266515089009,5.628537268924675e-32,-0.15306063011744908,0.0029731153199295565
12,CortexVol,,,0.1042170230152855,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.006494371079071169,0.006231850391121119,0.006768113776159125,5.118469559614801e-25,-0.1579375425985261,0.002970805655868933
13,CortexVol,,,0.11432510105931214,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.006994929828320822,0.006712175152258218,0.007289771458685342,3.0352088683715716e-31,-0.1535490688940133,0.0029728873434891846
14,CortexVol,,,0.10966378275543172,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.00676580541400701,0.006492312589190579,0.007050989275454523,2.3782961187663524e-28,-0.15553356751850203,0.0029719534352066657
15,CortexVol,,,0.10916243696126349,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.006740989998350263,0.006468500282212204,0.007025127871090243,4.8463804193949805e-28,-0.15575089582924476,0.002971850413598588
16,CortexVol,,,0.10540344375238567,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.006553842256272646,0.0062889175765946746,0.006830091708864393,9.734283753753687e-26,-0.1574056843477626,0.002971061146830248
17,CortexVol,,,0.11489543969017589,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.007022768685596018,0.006738888684867692,0.007318783745039593,1.336140612665197e-31,-0.15331059342186995,0.0029729987436915056
18,CortexVol,,,0.1032978089035164,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.006448159145923068,0.006187506473879998,0.006719953974762722,1.8427435356577083e-24,-0.1583528838390393,0.002970605522024641
19,CortexVol,,,0.09546518165367726,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.006049489331639924,0.005804952011281609,0.006304479923567228,8.252944505911407e-20,-0.1620151244778318,0.002968817508480093
20,CortexVol,,,0.11158224127026177,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.006860454011169807,0.006583135224680081,0.007149627383217727,1.5463063276887043e-29,-0.15470901350290436,0.00297234296358567
21,CortexVol,,,0.10796958328149263,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.0066818103011490795,0.006411712794300076,0.00696345370448972,2.6251639266528756e-27,-0.1562711313667547,0.002971603203939257
22,CortexVol,,,0.11699832880463264,,109,subcortical volume,r,partial correlation,cross-sectional,baseline,0.0312659334975182,1274.142961054458,40751.79655696485,89,pd,0.0300020768020454,0.0325838164546786,False,,0.007125050034915936,0.006837035535271395,0.0074253763312881905,6.431102076663715e-33,-0.15243916407171776,0.0029734043110606497
