region,n_correlations,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
Left-WM-hypointensities,0,0,0.0,,,,,,,,,201.0,201.0,201.0
Right-Lateral-Ventricle,26,0,0.0,1.313865510121015,0.02988052618648464,1.2531999100060882,1.3670583463817012,0.2531543757565652,0.005382402106630444,0.24373071198842955,0.26430523179424587,201.0,201.0,201.0
Right-Caudate,26,0,0.0,0.898778164416427,0.24387641239780952,0.182150110817382,1.2510539884170442,0.35510771081440906,0.08586724810993464,0.26471330436642576,0.6699979863257689,201.0,201.0,201.0
Right-WM-hypointensities,0,0,0.0,,,,,,,,,201.0,201.0,201.0
Right-vessel,26,0,0.0,0.23502463324825495,0.20625383459107552,6.385864598434792e-05,0.8136467077385299,0.6731065808015114,0.15879250472937279,0.3681458099542214,0.9936321307739994,201.0,201.0,201.0
Right-non-WM-hypointensities,0,0,0.0,,,,,,,,,201.0,201.0,201.0
Right-choroid-plexus,26,0,0.0,0.09949417086716254,0.10626115531836927,0.0014632507126667977,0.4289567769149516,0.7885863803668959,0.12214892450997451,0.5132652861958384,0.9695251300965866,201.0,201.0,201.0
SurfaceHoles,26,0,0.0,1.1848609777120482,0.5363079639753168,0.0014194904144668842,2.3321382281318472,0.31464917768311823,0.16384267587239698,0.12833164064978328,0.9699840631389707,201.0,201.0,201.0
rejected_images,0,0,0.0,,,,,,,,,201.0,201.0,201.0
rhSurfaceHoles,26,0,0.0,0.8095784862321218,0.6987527246428913,0.003435212340883949,2.5662231983476693,0.46040232467973785,0.23627957342569392,0.11077033145810425,0.9533216098048781,201.0,201.0,201.0
subject,0,0,0.0,,,,,,,,,0.0,0.0,0.0
visit,0,0,0.0,,,,,,,,,0.0,0.0,0.0
