region,hemisphere,n_tests,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
rejected_images,lh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
precuneus,rh,26,0,0.0,0.194936069089612,0.2114174783130879,0.0010712576227718891,0.9193998239766779,0.7165946442565547,0.17160197380551367,0.3388706811985842,0.9739247506497426,192.0,192.0,192.0
rejected_images,rh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
rostralanteriorcingulate,lh,26,0,0.0,0.26851977551110096,0.39673998650554254,0.000748981317089346,1.7348481700149125,0.6855416835975429,0.19207257282003093,0.1894046067815908,0.9781957853490892,192.0,192.0,192.0
precentral,lh,26,0,0.0,0.18766922463122157,0.21151436340510094,0.0021242474490517434,0.6933875866313152,0.7248503874268218,0.1727467692715631,0.4060767299378213,0.9632880501441663,192.0,192.0,192.0
pericalcarine,rh,26,0,0.0,0.5510657082541943,0.6592935397422097,4.183259963834449e-05,3.132390057549566,0.5796684316724652,0.26880909660590807,0.07838078495985318,0.9948463628320586,192.0,192.0,192.0
rostralmiddlefrontal,rh,26,0,0.0,0.8931428267404844,0.708347658001622,0.002751567478520282,2.336920544508178,0.4317444114456214,0.23565786135142763,0.1280288413765895,0.9582218362102511,192.0,192.0,192.0
rostralanteriorcingulate,rh,26,0,0.0,0.6216645049173443,0.7494093744075471,0.0003806763002460281,3.1682974816724214,0.5772128125155416,0.2948049099980556,0.07670457607200419,0.9844543217206146,192.0,192.0,192.0
subject,lh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
subject,rh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
superiorfrontal,rh,26,0,0.0,0.42478018417712404,0.5750175878483944,7.951264361203886e-06,1.7561600422346235,0.6504247141880524,0.2692691000203153,0.18672107832435061,0.9977531350223087,192.0,192.0,192.0
superiorfrontal,lh,26,0,0.0,0.5767585391800605,0.6686326567038683,0.00219256800257096,2.9956687797262194,0.55257896480077,0.24054790323564623,0.08513697309659211,0.962702779802661,192.0,192.0,192.0
superiorparietal,rh,26,0,0.0,0.4690810708236465,0.5754302679888036,6.203869839957357e-05,2.5899258652190222,0.5853904975499676,0.21689349972260072,0.1092322226145491,0.9937239516468478,192.0,192.0,192.0
superiorparietal,lh,26,0,0.0,0.3817891088010794,0.4681870754280816,0.0006158981236833878,1.712895379832361,0.6431981532175848,0.24242081659274112,0.19221626081036272,0.9802271587086215,192.0,192.0,192.0
supramarginal,lh,26,0,0.0,0.8880343071082412,0.9760804824071704,0.0011129145137333193,3.3618304409904307,0.4914924234017529,0.28808327841819575,0.06831352866044213,0.9734227905074494,192.0,192.0,192.0
supramarginal,rh,26,0,0.0,0.5375640740345115,0.3761062148144219,0.032430815209605904,1.306072148254726,0.5125972387554698,0.17675461306343485,0.2545680929441908,0.8572803861097238,192.0,192.0,192.0
temporalpole,lh,26,0,0.0,0.5258651287737859,0.7387950083555423,0.0013881311068377786,2.538764914825171,0.6049282405015559,0.25683167988815,0.11277049721479222,0.9703193302988866,192.0,192.0,192.0
temporalpole,rh,26,0,0.0,0.3297936867053888,0.4279085570245554,0.0001876399841321487,1.842431082621835,0.6688519140814007,0.23474759899342676,0.1763021814852853,0.9890853831144065,192.0,192.0,192.0
transversetemporal,lh,26,0,0.0,0.6309627860175188,0.7033863314479223,0.002017025973169594,2.7754958286010805,0.5459514275788089,0.2623146604723021,0.09739124144574779,0.964225922429817,192.0,192.0,192.0
transversetemporal,rh,26,0,0.0,0.730265897200389,0.7899545908085573,0.03285332304705661,3.516675798983518,0.48426412524234347,0.21063423429493372,0.062312923169596135,0.856363844266251,192.0,192.0,192.0
visit,lh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
visit,rh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
