region,hemisphere,n_correlations,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
parsorbitalis,lh,26,0,0.0,1.2351933271222,0.41781100973945784,0.4531324520206462,2.110133359853432,0.2831045787849563,0.08598248635726607,0.1479174845373965,0.5016400548909303,201.0,201.0,201.0
parahippocampal,lh,26,0,0.0,0.6900185259687134,0.445900328692217,0.045348766376904596,1.7504532473476333,0.4482944283069227,0.15658946893363812,0.18735337289757598,0.831584217271273,201.0,201.0,201.0
parahippocampal,rh,26,0,0.0,1.0324706985935186,0.5954621815489844,0.12749165314459324,2.3947484302594297,0.357761312655404,0.16859749846903035,0.12334827384031889,0.7214292761038787,201.0,201.0,201.0
lingual,lh,26,0,0.0,2.8154155569019386,0.5217686664910938,2.0213621805735142,3.7697512184313964,0.10007795329884005,0.030823962717889133,0.05361371450772415,0.1566811596553871,201.0,201.0,201.0
medialorbitofrontal,lh,26,0,0.0,0.6988771228509045,0.49250063554093704,0.00094058966189496,1.8316947658045466,0.46644732509330855,0.2063068865964155,0.1774783861138359,0.9755645351138187,201.0,201.0,201.0
middletemporal,lh,26,0,0.0,2.388716995248925,0.5288203269273773,1.4907725078637883,3.4848820687575857,0.13115269420119602,0.04174222899291957,0.06341755592999661,0.22355593442496774,201.0,201.0,201.0
paracentral,lh,26,0,0.0,0.041099439444941176,0.0688947409967889,0.0006487734777186545,0.265950417957708,0.8779155083674818,0.10161183757502328,0.6066395674050777,0.9797050364192573,201.0,201.0,201.0
paracentral,rh,26,0,0.0,0.7856006355115344,0.24269765817139022,0.4459597916205818,1.354220683814848,0.3861839180194033,0.07301617041527429,0.24594910410404477,0.5050414364911294,201.0,201.0,201.0
lingual,rh,26,0,0.0,1.8140999036587344,0.24683906287694088,1.094633069190348,2.201588805245786,0.18258629079186467,0.033884896971236964,0.13946672975982743,0.29672895715081254,201.0,201.0,201.0
inferiortemporal,lh,26,0,0.0,1.8569797883328023,0.5351863207886887,0.8420221218255352,2.995504423506216,0.18746590359419416,0.06781195893759573,0.085061736131814,0.3599411243753178,201.0,201.0,201.0
inferiorparietal,rh,26,0,0.0,2.2279723720040043,0.30727002616743126,1.6795827706691815,2.9888021145244146,0.13991115826785314,0.026174767874185514,0.08540884489135386,0.19649619675396232,201.0,201.0,201.0
inferiorparietal,lh,26,0,0.0,2.4838213429440383,0.2493300594936674,1.9951849988966515,2.927858071231969,0.1182103371417858,0.019259895650387104,0.0886369398670468,0.15937761456463895,201.0,201.0,201.0
isthmuscingulate,rh,26,0,0.0,0.04656801292395722,0.04381644562644252,0.0003355995621852795,0.13227934588724696,0.8524470760660947,0.08511178560170844,0.7164703582289209,0.9854026101342684,201.0,201.0,201.0
precentral,rh,26,0,0.0,0.050144753389365825,0.05452959680128564,3.7033807862488425e-07,0.22743349331043652,0.8535278507572236,0.09825650509162019,0.633962006541404,0.9995150599024213,201.0,201.0,201.0
postcentral,lh,26,0,0.0,2.1742183116178704,0.33444814324494826,1.5802828229719768,2.840338974795837,0.145508642493764,0.030847528567852608,0.0935081561061308,0.21020830895736767,201.0,201.0,201.0
precentral,lh,26,0,0.0,0.4535318407894901,0.17657591542064957,0.19399176491077386,0.9283923699004583,0.5120005677243554,0.0784898773411954,0.3364622584999397,0.660097765206225,201.0,201.0,201.0
precuneus,lh,26,0,0.0,2.9146984521422206,0.3870958760753008,2.1936737827216155,3.563387088902925,0.09202998223870135,0.02197026452071658,0.0605372547095354,0.14017607550133274,201.0,201.0,201.0
precuneus,rh,26,0,0.0,2.1658896351654744,0.2760697159529846,1.7019777858972425,2.932058708330005,0.14504518716048392,0.024271876269237824,0.0884102196562838,0.19355152685780463,201.0,201.0,201.0
rejected_images,lh,0,0,0.0,,,,,,,,,201.0,201.0,201.0
rejected_images,rh,0,0,0.0,,,,,,,,,201.0,201.0,201.0
postcentral,rh,26,0,0.0,0.03027100995079263,0.03401274918134097,7.967830769939024e-06,0.11387015435982809,0.8874321258797401,0.0798291361606235,0.7361395926820052,0.9977506429405679,201.0,201.0,201.0
