region,hemisphere,n_correlations,n_significant,proportion_significant,mean_F,std_F,min_F,max_F,mean_p,std_p,min_p,max_p,mean_n,min_n,max_n
rejected_images,rh,0,0,0.0,,,,,,,,,201.0,201.0,201.0
rostralanteriorcingulate,lh,26,0,0.0,0.1011536784009793,0.11738191722982143,0.00019175524386230624,0.37410287164613637,0.8027385500567894,0.14649215804610147,0.5414814996617117,0.9889656030440631,201.0,201.0,201.0
rostralanteriorcingulate,rh,26,0,0.0,0.21150242143726053,0.17636588240111903,0.002300055589350619,0.6463589452198208,0.6876249711695797,0.1523793115995069,0.422386533582927,0.9617975872370422,201.0,201.0,201.0
rostralmiddlefrontal,lh,26,0,0.0,1.7061072716781605,0.4105036460669611,0.9372868427305062,2.9271915764871883,0.2011877075433863,0.053659055002829435,0.0886729707929844,0.3341636408200055,201.0,201.0,201.0
rostralmiddlefrontal,rh,26,0,0.0,1.8298377854276768,0.39978782168008337,1.1329009411392588,2.6638900870330384,0.18466790022031404,0.04769160210799912,0.10424683626674382,0.2884602782576176,201.0,201.0,201.0
subject,lh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
subject,rh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
superiorfrontal,lh,26,0,0.0,0.6639194046657712,0.15959221054436917,0.3004121783717273,0.9324189328322837,0.4222752790513355,0.06235825699506063,0.3354190402599443,0.5842446655781052,201.0,201.0,201.0
superiorfrontal,rh,26,0,0.0,1.8648242880856396,0.42221959220009725,1.254132519517027,2.9930304341659295,0.18085028630731348,0.046942206453129735,0.08518968331226061,0.2641281300984232,201.0,201.0,201.0
superiorparietal,lh,26,0,0.0,0.2910008565697874,0.1185640137274266,0.10252117794015685,0.5588658886480838,0.6002997610366969,0.07806060300329334,0.4556089687561813,0.7491641935540532,201.0,201.0,201.0
superiorparietal,rh,26,0,0.0,0.23104092212006877,0.07662481645104391,0.09350813785332565,0.39635353170011567,0.6370955224723959,0.05798523475761235,0.529707927216033,0.7600866709380882,201.0,201.0,201.0
superiortemporal,lh,26,0,0.0,0.6796080347591574,0.19686171274243214,0.4046165919020596,1.0836692100003331,0.41859735808118537,0.06728057737324673,0.2991540547207408,0.5254529485854047,201.0,201.0,201.0
superiortemporal,rh,26,0,0.0,1.7008529190455985,0.2749867072921653,1.1294316067222956,2.633044101149905,0.1972346847759017,0.03413302779980764,0.10626006911080466,0.2891976249593865,201.0,201.0,201.0
supramarginal,lh,26,0,0.0,0.4388706243278173,0.20434991665585672,0.09928094504465197,0.9671188862484474,0.5243679565436448,0.09833734458778126,0.3266060066108014,0.7530277415690062,201.0,201.0,201.0
supramarginal,rh,26,0,0.0,0.18930484264035152,0.11551312578807732,0.008617046418535394,0.43112414422989503,0.683077887452884,0.10261668798096708,0.512204119940075,0.9261345026633441,201.0,201.0,201.0
temporalpole,lh,26,0,0.0,1.7543323002128512,0.8743060544998408,0.1953757123283898,3.385040692738466,0.23853586665098817,0.17408503032512798,0.06729524168255181,0.6589644627805555,201.0,201.0,201.0
temporalpole,rh,26,0,0.0,0.23425707163336185,0.3159500819420284,0.000163815569475514,1.5615989184030523,0.6954862237161346,0.17858874345915635,0.2129138547514662,0.9898010702770706,201.0,201.0,201.0
transversetemporal,lh,26,0,0.0,0.370423887706583,0.2532982826407812,0.02137089114920836,1.005610434702076,0.5766172929036635,0.14214577680491663,0.3171868909362614,0.8839225681017807,201.0,201.0,201.0
transversetemporal,rh,26,0,0.0,0.08757285973320492,0.07631526629885314,0.002630887155363349,0.27219248908203775,0.792918418040718,0.10209646011597662,0.6024508796515493,0.9591446743124469,201.0,201.0,201.0
visit,lh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
visit,rh,0,0,0.0,,,,,,,,,0.0,0.0,0.0
